27,蝙蝠侠：黑暗骑士/ The Dark Knight/ 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),克里斯托弗·诺兰 Christopher Nolan,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,9.2,744928,https://movie.douban.com/subject/1851857/
28,活着/ 人生  /  Lifetimes,张艺谋 Yimou Zhang,1994,中国大陆 中国香港,剧情 历史 家庭,9.2,579453,https://movie.douban.com/subject/1292365/
29,寻梦环游记/ Coco/ 玩转极乐园(港)  /  可可夜总会(台),李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,2017,美国,喜剧 动画 奇幻 音乐,9.1,1090104,https://movie.douban.com/subject/20495023/
30,乱世佳人/ Gone with the Wind/ 飘,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,1939,美国,剧情 历史 爱情 战争,9.3,496928,https://movie.douban.com/subject/1300267/
31,末代皇帝/ The Last Emperor/ 末代皇帝溥仪(港),贝纳尔多·贝托鲁奇 Bernardo Bertolucci,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,9.2,528046,https://movie.douban.com/subject/1293172/
32,摔跤吧！爸爸/ Dangal/ 我和我的冠军女儿(台)  /  打死不离3父女(港),涅提·蒂瓦里 Nitesh Tiwari,2016,印度,剧情 传记 运动 家庭,9.0,1133817,https://movie.douban.com/subject/26387939/
33,指环王3：王者无敌/ The Lord of the Rings: The Return of the King/ 魔戒三部曲：王者再临(台 / 港),彼得·杰克逊 Peter Jackson,2003,美国 新西兰,剧情 动作 奇幻 冒险,9.2,548256,https://movie.douban.com/subject/1291552/
34,何以为家/ كفرناحوم/ 迦百农  /  星仔打官司(港),娜丁·拉巴基 Nadine Labaki,2018,黎巴嫩 法国 美国,剧情,9.1,671326,https://movie.douban.com/subject/30170448/
35,少年派的奇幻漂流/ Life of Pi/ 少年Pi的奇幻漂流  /  漂流少年Pi,李安 Ang Lee,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.1,1037752,https://movie.douban.com/subject/1929463/
36,飞屋环游记/ Up/ 冲天救兵(港)  /  天外奇迹(台),彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,2009,美国,剧情 喜剧 动画 冒险,9.0,970363,https://movie.douban.com/subject/2129039/
37,十二怒汉/ 12 Angry Men/ 12怒汉  /  十二怒汉,Sidney Lumet,1957,美国,剧情,9.4,330136,https://movie.douban.com/subject/1293182/
38,鬼子来了/ Devils on the Doorstep,姜文 Wen Jiang,2000,中国大陆,剧情 喜剧,9.2,447082,https://movie.douban.com/subject/1291858/
39,素媛/ 소원/ 许愿  /  希望：为爱重生(台),李濬益 Jun-ik Lee,2013,韩国,剧情,9.2,452587,https://movie.douban.com/subject/21937452/
40,天空之城/ 天空の城ラピュタ/ Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky,宫崎骏 Hayao Miyazaki,1986,日本,动画 奇幻 冒险,9.1,615895,https://movie.douban.com/subject/1291583/
41,哈尔的移动城堡/ ハウルの動く城/ 哈尔移动城堡(港)  /  呼啸山城,宫崎骏 Hayao Miyazaki,2004,日本,动画 奇幻 冒险,9.1,709721,https://movie.douban.com/subject/1308807/
42,大话西游之月光宝盒/ 西遊記第壹佰零壹回之月光寶盒/ 西游记101回月光宝盒  /  齐天大圣东游记,刘镇伟 Jeffrey Lau,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,875726,https://movie.douban.com/subject/1299398/
43,天堂电影院/ Nuovo Cinema Paradiso/ 星光伴我心(港)  /  新天堂乐园(台),朱塞佩·托纳多雷 Giuseppe Tornatore,1988,意大利 法国,剧情 爱情,9.2,479666,https://movie.douban.com/subject/1291828/
44,罗马假日/ Roman Holiday/ 金枝玉叶(港)  /  罗马假期(台),威廉·惠勒 William Wyler,1953,美国,喜剧 剧情 爱情,9.0,710825,https://movie.douban.com/subject/1293839/
45,闻香识女人/ Scent of a Woman/ 女人香  /  女人的芳香,马丁·布莱斯 Martin Brest,1992,美国,剧情,9.1,618811,https://movie.douban.com/subject/1298624/
