13,Inception,https://www.imdb.com/title/tt1375666/,PG-13,2h 28min,Action,Adventure,https://www.imdb.com/title/tt1375666/mediaviewer/rm3426651392,https://www.imdb.com/video/imdb/vi4219471385?playlistId=tt1375666,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,Christopher Nolan,Christopher Nolan,Leonardo DiCaprio | Joseph Gordon-Levitt | Ellen Page
14,Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/,PG,2h 4min,Action,Adventure,https://www.imdb.com/title/tt0080684/mediaviewer/rm3114097664,https://www.imdb.com/video/imdb/vi221753881?playlistId=tt0080684,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",Leigh Brackett | Lawrence Kasdan | 1 more credit,Irvin Kershner,Mark Hamill | Harrison Ford | Carrie Fisher
15,The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/,PG-13,2h 59min,Adventure,Drama,https://www.imdb.com/title/tt0167261/mediaviewer/rm2020826368,https://www.imdb.com/video/imdb/vi2073101337?playlistId=tt0167261,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",J.R.R. Tolkien | Fran Walsh | 3 more credits,Peter Jackson,Elijah Wood | Ian McKellen | Viggo Mortensen
16,The Matrix,https://www.imdb.com/title/tt0133093/,R,2h 16min,Action,Sci-Fi,https://www.imdb.com/title/tt0133093/mediaviewer/rm525547776,https://www.imdb.com/video/imdb/vi1032782617?playlistId=tt0133093,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,Lilly Wachowski | Lana Wachowski,Lana Wachowski,Keanu Reeves | Laurence Fishburne | Carrie-Anne Moss
17,Goodfellas,https://www.imdb.com/title/tt0099685/,R,2h 26min,Biography,Crime,https://www.imdb.com/title/tt0099685/mediaviewer/rm2091797760,https://www.imdb.com/video/imdb/vi2673654553?playlistId=tt0099685,,Nicholas Pileggi | Nicholas Pileggi | 1 more credit,Martin Scorsese,Robert De Niro | Ray Liotta | Joe Pesci
18,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/,R,2h 13min,Drama,19 November 1975 (USA),https://www.imdb.com/title/tt0073486/mediaviewer/rm2186479360,https://www.imdb.com/video/imdb/vi3943282969?playlistId=tt0073486,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Lawrence Hauben | Bo Goldman | 2 more credits,Milos Forman,Jack Nicholson | Louise Fletcher | Will Sampson
19,Seven Samurai,https://www.imdb.com/title/tt0047478/,Not Rated,3h 27min,Action,Adventure,,,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Akira Kurosawa | Shinobu Hashimoto | 1 more credit,Akira Kurosawa,Toshirô Mifune | Takashi Shimura | Keiko Tsushima
20,Se7en,https://www.imdb.com/title/tt0114369/,R,2h 7min,Crime,Drama,https://www.imdb.com/title/tt0114369/mediaviewer/rm3116368640,https://www.imdb.com/video/imdb/vi2508831257?playlistId=tt0114369,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",Andrew Kevin Walker,David Fincher,Morgan Freeman | Brad Pitt | Kevin Spacey
21,Life Is Beautiful,https://www.imdb.com/title/tt0118799/,PG-13,1h 56min,Comedy,Drama,https://www.imdb.com/title/tt0118799/mediaviewer/rm2303464448,https://www.imdb.com/video/imdb/vi2332801561?playlistId=tt0118799,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Vincenzo Cerami | Roberto Benigni,Roberto Benigni,Roberto Benigni | Nicoletta Braschi | Giorgio Cantarini
22,City of God,https://www.imdb.com/title/tt0317248/,R,2h 10min,Crime,Drama,https://www.imdb.com/title/tt0317248/mediaviewer/rm3473475584,https://www.imdb.com/video/imdb/vi1783208985?playlistId=tt0317248,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Paulo Lins | Bráulio Mantovani,Fernando Meirelles,Alexandre Rodrigues | Leandro Firmino | Matheus Nachtergaele
